source,target,relation,dataset,file
Event_1pmb1rj,Gateway_17uiekg,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Gateway_17uiekg,Activity_0ndeors,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Gateway_17uiekg,Activity_0xghuq3,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_0ndeors,Event_1cdk4vd,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_0xghuq3,Event_1cdk4vd,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Event_1cdk4vd,Activity_14tedex,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_14tedex,Event_14b6h6d,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Event_1ecswlk,Activity_1f6ox4b,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_1f6ox4b,Event_0b1ev1n,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Event_1jx1vto,Activity_07863d7,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_07863d7,Activity_1ytv7ab,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
Activity_1ytv7ab,Event_0hil1oh,sequenceFlow,APQC PCF BPMN Models,04-intermediate-events.bpmn
