model_id,source_node,source_type,target_node,target_type,condition
04 - Join extracted sequence of HTML element using join node,bd01ca4.966ad38,join,4d2616a8.84de88,debug,
04 - Limit message rate,af78b43e.9817d8,inject,a35943e3.eaf0a,split,
04 - Limit message rate,a35943e3.eaf0a,split,23eacc60.7290a4,delay,
04 - Limit message rate,23eacc60.7290a4,delay,b5b7746a.53bf88,debug,
04 - Logging events,64470964.a291a8,inject,ee4f5964.5cdae8,function,
04 - Logging events,ee4f5964.5cdae8,function,ed028c2f.924b,debug,
04 - Output to node status,a5d8e744.a034e8,inject,b0646a4d.db4bc8,debug,
04 - Parse CSV with column name in first row as message sequence,24093558.0315aa,inject,80abaee1.5fa7f,template,
04 - Parse CSV with column name in first row as message sequence,d4d2ca3f.1d9488,csv,b52791c3.08967,debug,
04 - Parse CSV with column name in first row as message sequence,80abaee1.5fa7f,template,d4d2ca3f.1d9488,csv,
04 - Scale and wrap input,2f033c72.51dcc4,inject,cdaa82c4.820de,range,
04 - Scale and wrap input,cdaa82c4.820de,range,77f8872b.2a9968,debug,
04 - Scale and wrap input,84ac6a7e.77b8d8,inject,cdaa82c4.820de,range,
04 - Scale and wrap input,92f554c3.b08ad8,inject,cdaa82c4.820de,range,
04 - Select output port by type,b139dacf.a0d818,switch,7c5cd60c.e66b28,change,
04 - Select output port by type,b139dacf.a0d818,switch,86cf5262.20f18,change,port_1
04 - Select output port by type,7c5cd60c.e66b28,change,d9669648.1177e8,debug,
04 - Select output port by type,86cf5262.20f18,change,ca403f12.477a8,debug,
04 - Select output port by type,d3f1c718.dc67e8,inject,b139dacf.a0d818,switch,
04 - Select output port by type,a59e275e.6d48c8,inject,b139dacf.a0d818,switch,
04 - Set value from env var,a7c2725.a631f9,inject,e455c302.2f795,change,
04 - Set value from env var,e455c302.2f795,change,6f203119.21895,debug,
04 - Specify encoding of written data,e4ef1f5e.7cd82,inject,72b37cc8.177054,file,
04 - Specify encoding of written data,72b37cc8.177054,file,2da33ec.f45cac2,file in,
04 - Specify encoding of written data,2da33ec.f45cac2,file in,2e814354.278c8c,debug,
04 - Timeout processing using trigger node,8dcb51d5.90fbb,inject,69b526f1.347808,trigger,
04 - Timeout processing using trigger node,69b526f1.347808,trigger,3802c45b.84121c,function,
04 - Timeout processing using trigger node,69b526f1.347808,trigger,a3c01d51.86cbb,change,port_1
04 - Timeout processing using trigger node,7096b59a.c265fc,trigger,3b2238f8.71f6c8,debug,
04 - Timeout processing using trigger node,3802c45b.84121c,function,7096b59a.c265fc,trigger,
04 - Timeout processing using trigger node,a3c01d51.86cbb,change,7096b59a.c265fc,trigger,
04 - Timeout processing using trigger node,ae217597.bedf88,inject,69b526f1.347808,trigger,
05 - Convert JavaScript object to CSV,8ca41fee.3303d,inject,c466905b.e8c61,template,
05 - Convert JavaScript object to CSV,65146d20.d78204,csv,92e99e67.a37d8,debug,
05 - Convert JavaScript object to CSV,c466905b.e8c61,template,65146d20.d78204,csv,
05 - Formatting output using JSONata,6f477e7d.3a8da,inject,19c9408d.ac6d4f,debug,
05 - Handling errors,89c17d21.15da2,inject,1bcca7af.619428,function,
05 - Handling errors,1bcca7af.619428,function,3b9cd70e.8e66e8,debug,
05 - Handling errors,74854950.d99558,catch,32743f74.e718a,debug,
05 - Limit message rate for each topic,bdafe4c6.4d5658,inject,f86dc462.195818,split,
05 - Limit message rate for each topic,e0bdfcc1.cdf48,delay,29d8beea.6b37f2,debug,
05 - Limit message rate for each topic,f86dc462.195818,split,9feb3aac.616c38,change,
05 - Limit message rate for each topic,9feb3aac.616c38,change,e0bdfcc1.cdf48,delay,
05 - Post data to a flow,69a64e3d.84da3,http in,38d357a7.b69d08,template,
05 - Post data to a flow,ec661b6b.c3c2b8,http request,7c2812c.c6ee7ec,debug,
05 - Post data to a flow,38d357a7.b69d08,template,43e49c36.dc7624,http response,
05 - Post data to a flow,e45041b6.9ec13,inject,ec661b6b.c3c2b8,http request,
05 - Set flow context,80e966d3.9d7a78,inject,abaee298.2d77e,change,
05 - Set flow context,abaee298.2d77e,change,60ab671d.b0bbf8,debug,
05 - Set flow context,2de2bb38.f20ff4,inject,7b96521e.a3cb0c,change,
05 - Set flow context,7b96521e.a3cb0c,change,597b63cd.b3218c,debug,
05 - Use JSONata for switch rule,d89491c3.793a3,switch,d6cb78a6.872908,change,
05 - Use JSONata for switch rule,d89491c3.793a3,switch,1f0c62bb.c3d52d,change,port_1
05 - Use JSONata for switch rule,1f0c62bb.c3d52d,change,34b0a9fb.bafdb6,debug,
05 - Use JSONata for switch rule,d6cb78a6.872908,change,9ae9a2aa.a895c,debug,
05 - Use JSONata for switch rule,7beb0333.a55bac,inject,d89491c3.793a3,switch,
05 - Use JSONata for switch rule,a8db47cf.58ba18,inject,d89491c3.793a3,switch,
06 - Convert JavaScript object to CSV,bd0d82ed.7b28,inject,1d857b8d.3a4014,template,
06 - Convert JavaScript object to CSV,66a37667.16ebd8,csv,859725fd.dc93d8,debug,
06 - Convert JavaScript object to CSV,1d857b8d.3a4014,template,66a37667.16ebd8,csv,
06 - Delete message property,6708b393.04895c,inject,d8757f71.765a9,change,
06 - Delete message property,d8757f71.765a9,change,20c077b.e11c188,debug,
06 - Post file to a flow,59760c9d.172d94,http in,e30073f3.ad429,template,
06 - Post file to a flow,a888a043.ebb72,http in,14b950b.0ed5aaf,template,
06 - Post file to a flow,14b950b.0ed5aaf,template,2ccb67c7.02c568,http response,
06 - Post file to a flow,e30073f3.ad429,template,54f2edb5.62fca4,http response,
06 - Storing data in context,a3a635eb.191188,inject,77f57d92.06fa14,function,
06 - Storing data in context,77f57d92.06fa14,function,1a218bea.61ae04,debug,
06 - Use JSONata for switch value,c7ca4974.d638f8,switch,ac921b1d.c0dbe8,change,
06 - Use JSONata for switch value,c7ca4974.d638f8,switch,89adcfcc.53d6d,change,port_1
06 - Use JSONata for switch value,89adcfcc.53d6d,change,426c68cf.64f0e8,debug,
06 - Use JSONata for switch value,ac921b1d.c0dbe8,change,ab8972e0.e98b7,debug,
06 - Use JSONata for switch value,63377f1c.2fbfc,inject,c7ca4974.d638f8,switch,
06 - Use JSONata for switch value,ea2fa596.ff1638,inject,c7ca4974.d638f8,switch,
07 - Convert array of JavaScript objects to CSV with column name header,2b4d538d.ada07c,inject,3e5c9e8.5065b62,template,
07 - Convert array of JavaScript objects to CSV with column name header,db02c7be.0984e8,csv,61f8b772.ddb1f8,debug,
07 - Convert array of JavaScript objects to CSV with column name header,3e5c9e8.5065b62,template,db02c7be.0984e8,csv,
07 - Move message property,bae6cb28.2ac588,inject,436d3311.248cdc,change,
07 - Move message property,436d3311.248cdc,change,7865b104.64061,debug,
07 - Recreate message sequence,e3a71ee7.ec465,switch,f5f59cc2.a358f,join,
07 - Recreate message sequence,e3a71ee7.ec465,switch,ea61fc1e.afc62,join,port_1
07 - Recreate message sequence,5ad82808.648ef8,inject,5f435601.bb9ef8,split,
07 - Recreate message sequence,5f435601.bb9ef8,split,e3a71ee7.ec465,switch,
07 - Recreate message sequence,f5f59cc2.a358f,join,5fd951bb.c150e,debug,
07 - Recreate message sequence,ea61fc1e.afc62,join,cc02b428.9abb38,debug,
07 - Showing status information,ce0b7cca.34817,inject,a4a6c205.8afd4,function,
07 - Showing status information,9f29ae74.8dd11,inject,a4a6c205.8afd4,function,
07 - Showing status information,83fc1404.ec0b98,inject,a4a6c205.8afd4,function,
07 - Showing status information,517a869c.0ceab8,inject,a4a6c205.8afd4,function,
07 - Working with cookies,c362b989.954ae8,http in,21ddf71f.d00518,function,
07 - Working with cookies,21ddf71f.d00518,function,f3aa98c1.befc18,template,
07 - Working with cookies,f3aa98c1.befc18,template,f52e2880.180968,http response,
07 - Working with cookies,9a2a9a4.0fc0768,change,f52e2880.180968,http response,
07 - Working with cookies,afefb90.53dcf48,function,9a2a9a4.0fc0768,change,
07 - Working with cookies,d5205a2c.db9018,function,9a2a9a4.0fc0768,change,
07 - Working with cookies,fda60c66.04975,http in,afefb90.53dcf48,function,
07 - Working with cookies,35285a76.1f8636,http in,d5205a2c.db9018,function,
08 - Route message based on properties,f2cbd8ce.34c4c8,switch,50651c06.281524,debug,
08 - Route message based on properties,f2cbd8ce.34c4c8,switch,2786389.31cc5c8,debug,port_1
08 - Route message based on properties,f2cbd8ce.34c4c8,switch,e4db256d.a80ca8,debug,port_2
08 - Route message based on properties,c4de36a5.f14bc8,inject,f2cbd8ce.34c4c8,switch,
08 - Route message based on properties,96073ecd.9207f,inject,f2cbd8ce.34c4c8,switch,
08 - Route message based on properties,11b023ef.147c9c,inject,f2cbd8ce.34c4c8,switch,
08 - Specify column names in input message,39205b5c.690684,inject,526b59ba.2fa068,template,
08 - Specify column names in input message,b78a407e.2d083,csv,8b7084dd.986f68,debug,
08 - Specify column names in input message,526b59ba.2fa068,template,b204077a.227778,change,
08 - Specify column names in input message,b204077a.227778,change,b78a407e.2d083,csv,
08 - Using external modules,3ece1efd.306c22,inject,c9100743.673598,function,
08 - Using external modules,c9100743.673598,function,ed3da95d.62ee98,debug,
09 - Route message based on context value,fd7378.4448ec88,inject,85c9adae.e7d27,switch,
09 - Route message based on context value,85c9adae.e7d27,switch,beb75c77.48c8c,debug,
09 - Route message based on context value,85c9adae.e7d27,switch,ec521bae.6d9da8,debug,port_1
09 - Route message based on context value,85c9adae.e7d27,switch,46b7be29.5ee9b,debug,port_2
09 - Route message based on context value,20591916.597ac6,inject,d2c4662.6f8e098,change,
09 - Route message based on context value,22bf9e89.7f55f2,inject,d2c4662.6f8e098,change,
09 - Route message based on context value,c2e46f80.42ee5,inject,d2c4662.6f8e098,change,
09 - Route message based on context value,ff766a3e.5c5fe8,inject,d2c4662.6f8e098,change,
09 - Send column name when reset property set,c16ad95b.4f9ac8,inject,7f7bfc72.aed104,template,
09 - Send column name when reset property set,870620b9.95343,csv,d960de42.619c7,debug,
09 - Send column name when reset property set,7f7bfc72.aed104,template,870620b9.95343,csv,
09 - Send column name when reset property set,6f8296e.f95ca68,inject,c37d0dfa.ec1ab,template,
09 - Send column name when reset property set,c37d0dfa.ec1ab,template,870620b9.95343,csv,
09 - Send column name when reset property set,35209fe2.16926,inject,afd4e6b3.624a28,template,
09 - Send column name when reset property set,afd4e6b3.624a28,template,870620b9.95343,csv,
09 - Setup and close,e397736b.a96af,inject,900ad01c.561f,function,
09 - Setup and close,900ad01c.561f,function,1e2a78d6.33f617,debug,
10 - Asynchronous setup,89904b80.4fcd08,inject,22c235a0.acb41a,function,
10 - Asynchronous setup,22c235a0.acb41a,function,20fa70dc.7107f,debug,
10 - Join parsed CSV message sequence using join node,195c168c.44f149,inject,b270564c.171908,template,
10 - Join parsed CSV message sequence using join node,8ec8cf9e.103fa,csv,5c5254a8.bc562c,join,
10 - Join parsed CSV message sequence using join node,b270564c.171908,template,8ec8cf9e.103fa,csv,
10 - Join parsed CSV message sequence using join node,a07c9e26.c84fd,csv,1c7be442.6a4bdc,debug,
10 - Join parsed CSV message sequence using join node,5c5254a8.bc562c,join,a07c9e26.c84fd,csv,
