source,target,relation,dataset
id-78b6f6f5,id-88bfc62f,AggregationRelationship,EA ModelSet
id-80621cab,id-96bc126e,AggregationRelationship,EA ModelSet
_BiyoYHlgEDujYfItY94yLw,_GFjB4HlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_5rJWsHlfEDujYfItY94yLw,_9ZYjAHlfEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_9ZYjAHlfEDujYfItY94yLw,_BM9iUHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_BM9iUHlgEDujYfItY94yLw,_BiyoYHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_BM9iUHlgEDujYfItY94yLw,_BuKK4HlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_BuKK4HlgEDujYfItY94yLw,_CiRIYHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_CiRIYHlgEDujYfItY94yLw,_DotMAHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_DotMAHlgEDujYfItY94yLw,_EBe4YHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_FoBYYHlgEDujYfItY94yLw,_GFjB4HlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_FoBYYHlgEDujYfItY94yLw,_HNlA8HlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_HNlA8HlgEDujYfItY94yLw,_Hj52QHlgEDujYfItY94yLw,AssociationRelationship,EA ModelSet
_N3fbNGfCEeuyzKg_X9-Fsg,_N3fbPGfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3fbNmfCEeuyzKg_X9-Fsg,_N3fbOGfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3fbOmfCEeuyzKg_X9-Fsg,_N3fbPGfCEeuyzKg_X9-Fsg,TriggeringRelationship,EA ModelSet
_N3fbMmfCEeuyzKg_X9-Fsg,_N3fbOmfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3fbOGfCEeuyzKg_X9-Fsg,_N3fbPmfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3fbPGfCEeuyzKg_X9-Fsg,_N3fbPmfCEeuyzKg_X9-Fsg,AccessRelationship,EA ModelSet
_N3fbPGfCEeuyzKg_X9-Fsg,_N3fbQGfCEeuyzKg_X9-Fsg,ServingRelationship,EA ModelSet
_N3fbQmfCEeuyzKg_X9-Fsg,_N3fbQGfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBYWfCEeuyzKg_X9-Fsg,_N3fbPmfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3fbNGfCEeuyzKg_X9-Fsg,_N3fbOGfCEeuyzKg_X9-Fsg,TriggeringRelationship,EA ModelSet
_N3fbNGfCEeuyzKg_X9-Fsg,_N3fbOmfCEeuyzKg_X9-Fsg,TriggeringRelationship,EA ModelSet
_N3fbOGfCEeuyzKg_X9-Fsg,_N3fbPGfCEeuyzKg_X9-Fsg,RealizationRelationship,EA ModelSet
_N3gBY2fCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBZWfCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBZ2fCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBaWfCEeuyzKg_X9-Fsg,_N3fbQmfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBaWfCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBaWfCEeuyzKg_X9-Fsg,_N3gBY2fCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBaWfCEeuyzKg_X9-Fsg,_N3gBZWfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBZWfCEeuyzKg_X9-Fsg,_N3gBZ2fCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBa2fCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBZ2fCEeuyzKg_X9-Fsg,_N3gBa2fCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBa2fCEeuyzKg_X9-Fsg,_N3gBbWfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBbWfCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBb2fCEeuyzKg_X9-Fsg,_N3fbQGfCEeuyzKg_X9-Fsg,SpecializationRelationship,EA ModelSet
_N3gBb2fCEeuyzKg_X9-Fsg,_N3gBaWfCEeuyzKg_X9-Fsg,FlowRelationship,EA ModelSet
_N3gBcWfCEeuyzKg_X9-Fsg,_N3fbQGfCEeuyzKg_X9-Fsg,SpecializationRelationship,EA ModelSet
_N3gBc2fCEeuyzKg_X9-Fsg,_N3fbQmfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBdWfCEeuyzKg_X9-Fsg,_N3fbQGfCEeuyzKg_X9-Fsg,SpecializationRelationship,EA ModelSet
_N3gBdWfCEeuyzKg_X9-Fsg,_N3gBc2fCEeuyzKg_X9-Fsg,FlowRelationship,EA ModelSet
_N3gBc2fCEeuyzKg_X9-Fsg,_N3gBYWfCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBY2fCEeuyzKg_X9-Fsg,_N3gBd2fCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBZWfCEeuyzKg_X9-Fsg,_N3gBd2fCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBZ2fCEeuyzKg_X9-Fsg,_N3gBd2fCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBa2fCEeuyzKg_X9-Fsg,_N3gBd2fCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBbWfCEeuyzKg_X9-Fsg,_N3gBd2fCEeuyzKg_X9-Fsg,AssignmentRelationship,EA ModelSet
_N3gBd2fCEeuyzKg_X9-Fsg,_N3fbQmfCEeuyzKg_X9-Fsg,SpecializationRelationship,EA ModelSet
_N3gBeWfCEeuyzKg_X9-Fsg,_N3fbOmfCEeuyzKg_X9-Fsg,RealizationRelationship,EA ModelSet
_N3gBeWfCEeuyzKg_X9-Fsg,_N3gBe2fCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBe2fCEeuyzKg_X9-Fsg,_N3fbOmfCEeuyzKg_X9-Fsg,RealizationRelationship,EA ModelSet
_N3gBfWfCEeuyzKg_X9-Fsg,_N3fbQmfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_N3gBf2fCEeuyzKg_X9-Fsg,_N3fbQmfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
_RiAGcEnwEDm6C5Aq-IRcog,_N3fbOmfCEeuyzKg_X9-Fsg,RealizationRelationship,EA ModelSet
_RiAGcEnwEDm6C5Aq-IRcog,_N3gBeWfCEeuyzKg_X9-Fsg,AssociationRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-75771435-ec72-4f1e-82dd-81db5ab10042,AssignmentRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-0743928b-dcf0-48ad-a208-c5908a58785e,AssignmentRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-8c31aff2-2135-4741-a40f-df24daa158f6,AssignmentRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,id-55b38949-c8af-4559-bedd-cbae9f219cde,AssignmentRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,d5d6dc0f-aa71-4695-9717-1cc5eae50145,CompositionRelationship,EA ModelSet
id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,id-5620a936-fb9e-4340-9e5c-f8221415990e,AggregationRelationship,EA ModelSet
c07b13bc-5cb1-4855-8a80-8424cdb864d5,id-7df69886-d887-4bcb-99ee-70b729be2dda,AggregationRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,id-552fe270-f843-4af5-88d0-175b576831f9,CompositionRelationship,EA ModelSet
id-15c922fc-e304-4eff-b6ba-0dd4029537bd,id-55b38949-c8af-4559-bedd-cbae9f219cde,AssignmentRelationship,EA ModelSet
id-15c922fc-e304-4eff-b6ba-0dd4029537bd,id-8c31aff2-2135-4741-a40f-df24daa158f6,AssignmentRelationship,EA ModelSet
id-53516bd8-c67f-4f0d-8534-510f0ad4bf82,id-5620a936-fb9e-4340-9e5c-f8221415990e,CompositionRelationship,EA ModelSet
id-53516bd8-c67f-4f0d-8534-510f0ad4bf82,id-15c922fc-e304-4eff-b6ba-0dd4029537bd,CompositionRelationship,EA ModelSet
id-53516bd8-c67f-4f0d-8534-510f0ad4bf82,id-7df69886-d887-4bcb-99ee-70b729be2dda,CompositionRelationship,EA ModelSet
id-53516bd8-c67f-4f0d-8534-510f0ad4bf82,c07b13bc-5cb1-4855-8a80-8424cdb864d5,CompositionRelationship,EA ModelSet
id-53516bd8-c67f-4f0d-8534-510f0ad4bf82,id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,CompositionRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,AssignmentRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,id-9cbfaa0c-acdb-4587-9ff2-473ef32b42b9,AssignmentRelationship,EA ModelSet
b508d806-87bd-49ca-b6e4-77e4903a4361,id-9cbfaa0c-acdb-4587-9ff2-473ef32b42b9,AssignmentRelationship,EA ModelSet
b508d806-87bd-49ca-b6e4-77e4903a4361,id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,AssignmentRelationship,EA ModelSet
e0358a6f-44f3-4b26-a172-9bad3ac58aae,id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,AssignmentRelationship,EA ModelSet
